full_name,body_anonymized,is_resolvable,Yes Count,Total Count,Resolvable %,,Structured Resolvable,Unstructured
modernizr/modernizr,"
<!-- Please, do NOT post with this template if you are a beginner. Do NOT post with this proposal either if you are searching for a feature to be implemented, use the test request proposal for that -->

Hi 👋!
This issue is intended for new contributors and will help you implement your first changes to the <|Repo_Name|> project.

**What is proposed**
<!-- Explain the things that are related with the changes the issue requests. If you request new caniuse metadata tags explain how metadata work, the caniuse tag and what it is for -->

**How to do it**
<!-- Explain which files need to be updated, for example in the previous example you would need to explain that the \test\browser\integration\caniuse.js needs to be updated along the tests files. You may link to documentation, to similar PRs or resources that you think that may be helpful. Don't feel afraid of almost doing the PR for them, the idea is to steer them in the right direction so the first contact with the repository is easier (with hopes of bringing more collaborators in :) -->

**Feel free to raise any question in this issue if you stumble with problems and good luck 💪!**
",No,,,,,,
justfoolingaround/animdl,"
From maintainers: Both labels have been handed to this issue, remove the inapplicable one. Your title should answer at least 3 of 5W1H questions for fastest responses.

**Is your feature request related to a problem? Please describe.**

A clear and concise description of what the problem is. Ex. I'm always frustrated when [...]

**Describe the solution you'd like**

A clear and concise description of what you want to happen.

**Describe alternatives you've considered**

A clear and concise description of any alternative solutions or features you've considered.

**Additional context**

Add any other context or screenshots about the feature request here.
",Yes,,,,,,
sverweij/dependency-cruiser,"
<!--- Provide a general summary of the issue in the Title above -->

### Expected Behavior

<!--- Tell us what you expect should happen -->

### Current Behavior

<!--- Tell what happens instead -->

### Possible Solution

<!--- Not obligatory, but suggestions how to fix the bug, or ideas what the reason for the bug is are welcome. -->

### Steps to Reproduce (for bugs)

<!--- Provide a link to a live example, or an unambiguous set of steps to -->
<!--- reproduce this bug. Include code to reproduce, if relevant -->

1.
2.
3.
4.

### Context

<!--- How has this issue affected you? What are you trying to accomplish? -->
<!--- Providing context helps us understand better, which will likely result in better, faster, stronger fixes -->

### Your Environment

<!--- Include as many relevant details about the environment you experienced the bug in -->

- Version used:
- Node version:
- Operating System and version:
- Link to your project:
",Yes,,,,,,
growthbook/growthbook,"
### Summary

<!-- Please provide a summary of the bug -->

#### Expected Behavior

<!--- Tell us what should happen -->

#### Current Behavior

<!--- Tell us what happens instead of the expected behavior -->
",Yes,,,,,,
kimchi-project/wok,"
**Describe the bug**
A clear and concise description of what the bug is.

**To Reproduce**
Steps to reproduce the behavior:
1. Go to '...'
2. Click on '....'
3. Scroll down to '....'
4. See error

**Expected behavior**
A clear and concise description of what you expected to happen.

**Screenshots**
If applicable, add screenshots to help explain your problem.

**Desktop (please complete the following information):**
- OS: [e.g. Fedora 31, Ubuntu 19.10]
- Browser [e.g. chrome, safari]
- Version [e.g. 2.5, local@<sha>]

**Additional context**
Add any other context about the problem here.
",Yes,,,,,,
pantsbuild/pants,"
**Describe the bug**
A clear and concise description of the bug.

**<|Repo_Name|> version**
Which version of <|Repo_Name|> are you using?

**OS**
Are you encountering the bug on MacOS, Linux, or both?

**Additional info**
Add any other information about the problem here, such as attachments or links to gists, if relevant.
",No,,,,,,
numbbo/coco,"
**Describe the bug**
Describe the bug, ideally paste the executed code and the resulting output. If you think it is helpful, also describe the expected behaviour. If applicable, add screenshots to help explain the problem.

**Your System (please complete the following information when it seems relevant):**
- Operating system: [e.g. macOS 10.15.4, Windows 10, ...]
- <|Repo_Name|> version: [e.g. 2.2.1 (according to `<|Repo_Name|>pp.__version__`), from the `development` branch, ...]
- Browser (if relevant): [e.g. chrome, safari]
",Yes,,,,,,
buchen/portfolio,"
**Is your feature request related to a problem? Please describe.**
A clear and concise description of what the problem is. Ex. I'm always frustrated when [...]

**Describe the solution you'd like**
A clear and concise description of what you want to happen.

**Describe alternatives you've considered**
A clear and concise description of any alternative solutions or features you've considered.

**Additional context**
Add any other context or screenshots about the feature request here.
",Yes,,,,,,
kubernetes-sigs/cluster-api-provider-ibmcloud,"
/kind feature
/area provider/ibmcloud

**Describe the solution you'd like**
[A clear and concise description of what you want to happen.]


**Anything else you would like to add:**
[Miscellaneous information that will assist in solving the issue.]
",Yes,,,,,,
opctl/opctl,"
<!--
If you like to follow up or discuss the feature with us, post a message in our [![Slack](<|URL|>)](<|URL|>) channel.
-->

## 🚀 Feature

(A clear and concise description of what the feature is.)

(Write your answer here.)

## Motivation

(Please outline the motivation for the proposal.)

## Pitch

(Please explain why this feature should be implemented and how it would be used.)

",Yes,,,,,,
submariner-io/submariner,"
### GitHub Username
e.g. (at)example_user

### Code you are requesting Committer rights for
e.g. <|Repo_Name|>-operator/\* or <|Repo_Name|>-operator/scripts/\*

### Requirements
- [ ] I have reviewed the contributor roles guidelines (<|URL|>)
- [ ] I have enabled 2FA on my GitHub account (<|URL|>)
- [ ] I have subscribed to the <|Repo_Name|>-dev e-mail list (<|URL|>)
- [ ] I have been actively contributing to <|Repo_Name|> for at least 3 months
- [ ] I have two sponsors that meet the sponsor requirements listed in the community membership guidelines
- [ ] I have spoken to my sponsors ahead of this application, and they have agreed to sponsor my application

### Sponsors
- (at)sponsor-1
- (at)sponsor-2

### List of required reviews to <|Repo_Name|> project PRs
- At least 20 PRs to the relevant codebase that you reviewed, and at least 5 for which you were the primary reviewer
- `<|URL|><repo>/pulls?q=is%3Apr+reviewed-by%3A<your-GH-handle>+-author%3A<your-GH-handle>`
",Yes,,,,,,
microsoft/typescript,"
# lib Update Request

<!--
Please fill in each section completely. Thank you!

Are you here for one of these commonly-requested lib changes?
* Object.keys - see <|URL|>
* Array methods - see <|URL|>
* parseInt, parseFloat, isFinite, isNaN, etc. - see <|URL|>

The DOM lib is maintained elsewhere and you can skip a step by filing issues/PRs for the DOM at that repo.
See <|URL|>
-->

## Configuration Check

<!--
If you're missing common new methods like Array.includes, you may have a misconfigured project.
Try setting `lib: ""es2020""` and checking whether the type you want is present.
You can diagnose further by running `tsc` with `--listFilesOnly` or `--showConfig`.

Conversely, if you are seeing built-in methods you expect to *not* see, check your 'lib' setting
or review your dependencies for lib/reference directives that might be polluting
your global scope. This is common when using the 'node' type library. See <|URL|>

Replace the text below:
-->
My compilation *target* is `ES2015` and my *lib* is `the default`.

## Missing / Incorrect Definition

<!--
What property, method, function, etc is missing or incorrect?
-->

## Sample Code

<!--
What's some code using this that should work, but doesn't?
-->

## Documentation Link

<!--
Link to relevant documentation (e.g. MDN, W3C, ECMAScript Spec) to consult for this property.
Note that lib.dom.d.ts intentionally does not include browser-specific extensions
or early experimental features.
-->
",No,,,,,,
